
Step FractureName TipNr TipX TipY TipZ KI KII KIII G Phi Psi
600 FRACTURE19_S 5 121.656 -63.7484 132.578 -4411.74 -15273.5 -6942.9 0.00555712 63.1635 21.153
600 FRACTURE19_S 6 123.9 -65.751 129.464 -4451.34 -8829.21 -11548.1 0.00670081 47.5185 33.6052
600 FRACTURE19_S 7 124.681 -66.4485 125.264 -3946.88 -697.232 -13247.1 0.00725696 6.82516 44.3175
600 FRACTURE19_S 8 123.791 -65.654 121.103 -3662.63 7703.01 -11927.8 0.00678448 -44.157 35.2102
600 FRACTURE19_S 9 121.468 -63.5804 118.096 -3623.53 14530 -7638.08 0.00563714 -61.6898 22.9575
600 FRACTURE19_S 10 118.335 -60.7833 117.048 -3492.8 17960.7 -943.456 0.0049676 -69.8256 3.81057
600 FRACTURE19_S 11 115.23 -58.0122 118.241 -3098.07 16772.3 6666.83 0.00613605 -64.3369 -19.5159
600 FRACTURE1_S 0 -131.427 -109.775 83.6072 -2856.76 11555.2 -6543.68 0.00380986 -60.8496 23.8873
600 FRACTURE1_S 1 -134.363 -112.147 81.0851 -2602.38 13525.4 -1080.49 0.00284446 -69.6169 5.58956
600 FRACTURE1_S 2 -137.888 -114.994 80.7884 -2390.87 11859.1 4250.27 0.00289596 -65.1272 -18.2823
600 FRACTURE1_S 3 -141.055 -117.552 82.7965 -2269 7543.86 8097.52 0.00357867 -51.2392 -31.5361
600 FRACTURE1_S 4 -143.017 -119.137 86.5715 -2180.61 1580.33 9850.79 0.00404696 -18.0169 -42.7103
600 FRACTURE1_S 5 -143.248 -119.323 91.1018 -2381.25 -4761.97 9202.75 0.0038453 39.6003 -37.0707
600 FRACTURE1_S 6 -141.686 -118.062 95.1736 -2522.03 -10337.6 6231.81 0.00323781 60.0982 -24.6681
600 FRACTURE1_S 7 -138.749 -115.689 97.6957 -2543.03 -13164.9 1438.42 0.00273465 69.3209 -7.36277
600 FRACTURE1_S 8 -135.225 -112.843 97.9924 -2728.65 -12858.8 -4197.07 0.0032551 65.7612 17.1958
600 FRACTURE1_S 9 -132.057 -110.284 95.9842 -3109.51 -8785.59 -9230.08 0.00469932 51.6258 31.3001
600 FRACTURE1_S 10 -130.095 -108.699 92.2092 -3228.96 -1814.5 -11733.6 0.00573796 17.4947 42.8009
600 FRACTURE1_S 11 -129.865 -108.513 87.6789 -3064 6066.46 -10880.5 0.00545322 -41.1455 36.4758
600 FRACTURE20_S 0 -114.066 -136.867 121.297 -3863.93 2368.8 461.482 9.45664e-005 -68.139 -11.8407
600 FRACTURE20_S 1 -118.35 -136.97 120.245 -3942.87 1907.74 1250.64 0.000120245 -59.0243 -25.7117
600 FRACTURE20_S 2 -122.585 -137.072 121.477 -4074.17 793.695 1800.49 0.00014355 -36.2808 -38.2396
600 FRACTURE20_S 3 -125.637 -137.146 124.663 -4215.47 -500.063 1895.84 0.000152305 26.1708 -41.0579
600 FRACTURE20_S 4 -126.688 -137.171 128.948 -4809.78 -1750.67 1436.87 0.000132139 55.776 -28.455
600 FRACTURE20_S 5 -125.456 -137.141 133.184 -5565.66 -2431.16 216.084 9.22732e-005 69.5336 -6.14694
600 FRACTURE20_S 6 -122.272 -137.064 136.237 -5893.56 -1946.03 -876.018 8.95882e-005 63.2548 21.0328
600 FRACTURE20_S 7 -117.988 -136.961 137.288 -5913.49 -1138.34 -1456.68 0.000107467 47.9431 33.386
600 FRACTURE20_S 8 -113.753 -136.859 136.056 -5701.23 -86.6693 -1716.06 0.000121772 6.56893 44.3468
600 FRACTURE20_S 9 -110.701 -136.785 132.871 -5178.82 913.653 -1693.94 0.0001313 -40.4598 36.7441
600 FRACTURE20_S 10 -109.65 -136.76 128.586 -4304.37 1851.22 -1230.89 0.000114973 -58.8355 25.8872
600 FRACTURE20_S 11 -110.882 -136.79 124.349 -3853.13 2418.4 -472.894 9.86364e-005 -68.1274 11.8747
600 FRACTURE21_S 0 -234.392 -132.572 130.204 -14472.3 1532.42 -4318.21 0.000806228 -31.8671 39.593
600 FRACTURE21_S 1 -236.484 -128.725 133.083 -14825.1 3957.84 -3260.61 0.000678642 -55.7174 28.4998
600 FRACTURE21_S 2 -237.608 -126.658 137.766 -15616 5468.76 -1320.02 0.000529124 -67.3535 13.9188
600 FRACTURE21_S 3 -237.463 -126.925 142.997 -16450.9 5710.69 840.36 0.000527656 -68.8481 -9.46271
600 FRACTURE21_S 4 -236.088 -129.454 147.376 -17301.5 4666.13 2913.34 0.000683436 -59.658 -25.1056
600 FRACTURE21_S 5 -233.851 -133.568 149.729 -17348.1 2432.35 4327.28 0.000864003 -41.3133 -36.4091
600 FRACTURE21_S 6 -231.351 -138.163 149.425 -17159.7 -734.985 4907.32 0.00100311 17.0491 -42.8769
600 FRACTURE21_S 7 -229.259 -142.01 146.547 -16571 -3714.37 4029 0.000881485 51.049 -31.6506
600 FRACTURE21_S 8 -228.135 -144.077 141.864 -15831.4 -5638.77 1778.21 0.000616634 65.9764 -16.8036
600 FRACTURE21_S 9 -228.28 -143.81 136.632 -15169.4 -6000.01 -1009.81 0.000592397 68.5473 10.5516
600 FRACTURE21_S 10 -229.655 -141.281 132.254 -14486.3 -4339.99 -3199.95 0.000710922 57.3919 27.1594
600 FRACTURE21_S 11 -231.893 -137.168 129.901 -14414.8 -1715.88 -4501.27 0.000882032 33.3068 39.1745
600 FRACTURE22_S 0 -18.5052 -104.988 75.9886 -26511.9 13274.2 -219.615 0.00269532 -69.9815 1.26073
600 FRACTURE22_S 1 -19.7079 -109.3 73.9965 -26512 11908.9 4849.64 0.0031394 -64.138 -19.8083
600 FRACTURE22_S 2 -21.0171 -113.995 74.5098 -26880.7 7739.82 9150.28 0.00437457 -49.4552 -32.5714
600 FRACTURE22_S 3 -22.0819 -117.813 77.3909 -26678.9 1038.82 11541 0.005519 -11.0836 -43.784
600 FRACTURE22_S 4 -22.6171 -119.732 81.868 -26472.6 -6485.25 10784.1 0.0054473 42.703 -35.8397
600 FRACTURE22_S 5 -22.4792 -119.237 86.7413 -25664.5 -11868.3 7134.98 0.00425611 60.1321 -24.6339
600 FRACTURE22_S 6 -21.7052 -116.462 90.705 -25671.1 -14481.7 1550.41 0.00330491 69.3453 -7.23452
